algoritmo,np,workers,N,nH,rep,tiempo_us
FxC,2,1,1024,4,6,6117820
FxC,2,1,1024,4,7,6527913
FxC,2,1,1024,4,8,6078142
FxC,2,1,1024,4,9,6157590
FxC,2,1,1024,4,10,6267522
FxC,2,1,1024,4,11,6168048
FxC,2,1,1024,4,12,6422776
FxC,2,1,1024,4,13,6407595
FxC,2,1,1024,4,14,6145018
FxC,2,1,1024,4,15,6359262
FxC,2,1,1024,4,16,6495743
FxC,2,1,1024,4,17,6391330
FxC,2,1,1024,4,18,6880470
FxC,2,1,1024,4,19,6117153
FxC,2,1,1024,4,20,6108046
FxC,2,1,1024,4,21,6312555
FxC,2,1,1024,4,22,6221033
FxC,2,1,1024,4,23,6274865
FxC,2,1,1024,4,24,6449326
FxC,2,1,1024,4,25,6465597
FxC,2,1,1024,4,26,6556906
FxC,2,1,1024,4,27,6519503
FxC,2,1,1024,4,28,6371983
FxC,2,1,1024,4,29,6443650
FxC,2,1,1024,4,30,6622795
FxC,2,1,2048,1,1,118581751
FxC,2,1,2048,1,2,113194752
FxC,2,1,2048,1,3,116578492
FxC,2,1,2048,1,4,114216350
FxC,2,1,2048,1,5,114457007
FxC,2,1,2048,1,6,112596371
FxC,2,1,2048,1,7,113808448
FxC,2,1,2048,1,8,114360996
FxC,2,1,2048,1,9,115587221
FxC,2,1,2048,1,10,109749955
FxC,2,1,2048,1,11,115885906
FxC,2,1,2048,1,12,113245619
FxC,2,1,2048,1,13,115490258
FxC,2,1,2048,1,14,108092781
FxC,2,1,2048,1,15,115455955
FxC,2,1,2048,1,16,109368388
FxC,2,1,2048,1,17,114098890
FxC,2,1,2048,1,18,109794914
FxC,2,1,2048,1,19,109767157
FxC,2,1,2048,1,20,109958037
FxC,2,1,2048,1,21,107273804
FxC,2,1,2048,1,22,114635268
FxC,2,1,2048,1,23,117600893
FxC,2,1,2048,1,24,119866526
FxC,2,1,2048,1,25,116352436
FxC,2,1,2048,1,26,113025665
FxC,2,1,2048,1,27,111713005
FxC,2,1,2048,1,28,118168736
FxC,2,1,2048,1,29,106483710
FxC,2,1,2048,1,30,110847619
FxC,2,1,2048,2,1,104608079
FxC,2,1,2048,2,2,107377052
FxC,2,1,2048,2,3,99882920
FxC,2,1,2048,2,4,97290442
FxC,2,1,2048,2,5,98087409
FxC,2,1,2048,2,6,101704528
FxC,2,1,2048,2,7,103098663
FxC,2,1,2048,2,8,100483027
FxC,2,1,2048,2,9,103722919
FxC,2,1,2048,2,10,105318293
FxC,2,1,2048,2,11,103841976
FxC,2,1,2048,2,12,98101660
FxC,2,1,2048,2,13,101582449
FxC,2,1,2048,2,14,101642981
FxC,2,1,2048,2,15,107883487
FxC,2,1,2048,2,16,103407284
FxC,2,1,2048,2,17,99082945
FxC,2,1,2048,2,18,101293024
FxC,2,1,2048,2,19,97931821
FxC,2,1,2048,2,20,99544778
FxC,2,1,2048,2,21,101520837
FxC,2,1,2048,2,22,100911947
FxC,2,1,2048,2,23,99760545
FxC,2,1,2048,2,24,101057711
FxC,2,1,2048,2,25,106989048
FxC,2,1,2048,2,26,99167670
FxC,2,1,2048,2,27,106242778
FxC,2,1,2048,2,28,101947311
FxC,2,1,2048,2,29,101784750
FxC,2,1,2048,2,30,100601592
FxC,2,1,2048,4,1,96996631
FxC,2,1,2048,4,2,100413795
FxC,2,1,2048,4,3,97143075
FxC,2,1,2048,4,4,101744740
FxC,2,1,2048,4,5,96740963
FxC,2,1,2048,4,6,97466305
FxC,2,1,2048,4,7,93425291
FxC,2,1,2048,4,8,93368540
FxC,2,1,2048,4,9,95718372
FxC,2,1,2048,4,10,92466999
FxC,2,1,2048,4,11,96096421
FxC,2,1,2048,4,12,101333277
FxC,2,1,2048,4,13,101758628
FxC,2,1,2048,4,14,98161663
FxC,2,1,2048,4,15,97898322
FxC,2,1,2048,4,16,97785578
FxC,2,1,2048,4,17,102555341
FxC,2,1,2048,4,18,96521070
FxC,2,1,2048,4,19,94243835
FxC,2,1,2048,4,20,94501822
FxC,2,1,2048,4,21,99706482
FxC,2,1,2048,4,22,99358505
FxC,2,1,2048,4,23,95915824
FxC,2,1,2048,4,24,94370575
FxC,2,1,2048,4,25,93147828
FxC,2,1,2048,4,26,93847292
FxC,2,1,2048,4,27,98189282
FxC,2,1,2048,4,28,96905552
FxC,2,1,2048,4,29,96608296
FxC,2,1,2048,4,30,95087160
FxC,4,3,768,1,1,885065
FxC,4,3,768,1,2,908698
FxC,4,3,768,1,3,922475
FxC,4,3,768,1,4,892125
FxC,4,3,768,1,5,865073
FxC,4,3,768,1,6,871342
FxC,4,3,768,1,7,898202
FxC,4,3,768,1,8,886855
FxC,4,3,768,1,9,875165
FxC,4,3,768,1,10,906729
FxC,4,3,768,1,11,880730
FxC,4,3,768,1,12,855429
FxC,4,3,768,1,13,891860
FxC,4,3,768,1,14,892951
FxC,4,3,768,1,15,873052
FxC,4,3,768,1,16,875451
FxC,4,3,768,1,17,859367
